mHz- from clock,Flourescence,Lorentian,Predicted,Residuals,Voigt1,Predicted 1,Residuals 1,Gaussian,Predicted 2,Residuals 2,Parameters,Predicted 3,Residuals 3
-5.600000000000000e+1,5.652000000000000e+3,-5.882884991657084e+3,4.979255647068556e+3,6.727443529314442e+2,-4.218642367877359e+3,4.819044303261817e+3,8.329556967381832e+2,-4.217394580914454e+3,4.818188203353214e+3,8.338117966467853e+2,4.951728808876499e+3,4.617788342360918e+3,1.034211657639082e+3
-5.200000000000000e+1,4.456000000000000e+3,4.103877081244462e+1,4.820114008187203e+3,-3.641140081872036e+2,2.582805384659832e+1,4.730859316390950e+3,-2.748593163909500e+2,2.580474562089474e+1,4.730431479882280e+3,-2.744314798822798e+2,-3.838473404427172e+3,4.568479358503814e+3,-1.124793585038133e+2
-4.800000000000000e+1,4.896000000000000e+3,8.381444572069110e+0,4.641588617051906e+3,2.544113829480939e+2,1.845534233768653e-8,4.612728534535586e+3,2.832714654644142e+2,8.014333137725893e+0,4.612785317808806e+3,2.832146821911938e+2,-3.359070654461191e+3,4.507293352536627e+3,3.887066474633730e+2
-4.400000000000000e+1,4.943000000000000e+3,6.678961354720065e+3,4.441416328792876e+3,5.015836712071241e+2,7.998885589889741e+0,4.458960840831288e+3,4.840391591687121e+2,5.012601918666760e+3,4.459538635967167e+3,4.834613640328326e+2,1.301536638357259e+1,4.430129063693232e+3,5.128709363067682e+2
-4.000000000000000e+1,4.599000000000000e+3,,4.217352141442818e+3,3.816478585571822e+2,5.014888132766306e+3,4.264612098404886e+3,3.343879015951143e+2,,4.265717280573154e+3,3.332827194268457e+2,1.374910841312384e+1,4.331018346474169e+3,2.679816535258315e+2
-3.600000000000000e+1,4.088000000000000e+3,,3.967376609249393e+3,1.206233907506071e+2,,4.026317567443721e+3,6.168243255627931e+1,,4.027917825442806e+3,6.008217455719386e+1,-5.109557329993464e+0,4.201090043605399e+3,-1.130900436053989e+2
-3.200000000000000e+1,4.041000000000000e+3,,3.690027917818747e+3,3.509720821812530e+2,,3.743208259161107e+3,2.977917408388926e+2,,3.745227277652150e+3,2.957727223478505e+2,2.319504238825208e+1,4.026913106624006e+3,1.408689337599390e+1
-2.800000000000000e+1,3.066000000000000e+3,,3.384901363937744e+3,-3.189013639377436e+2,,3.417790586943195e+3,-3.517905869431952e+2,,3.420107938879864e+3,-3.541079388798635e+2,,3.787962038801773e+3,-7.219620388017725e+2
-2.400000000000000e+1,2.971000000000000e+3,,3.053352525990928e+3,-8.235252599092746e+1,,3.056635999485651e+3,-8.563599948565070e+1,,3.059093528583196e+3,-8.809352858319653e+1,,3.453338530992538e+3,-4.823385309925379e+2
-2.000000000000000e+1,3.248000000000000e+3,,2.699408503342605e+3,5.485914966573946e+2,,2.670717095225792e+3,5.772829047742080e+2,,2.673132040445916e+3,5.748679595540843e+2,,2.980230462321338e+3,2.677695376786624e+2
