mHz- from clock,Flourescence,Parameters,Predicted,Residuals
-5.600000000000000e+1,5.652000000000000e+3,-4.217394580914454e+3,4.818188203353214e+3,8.338117966467853e+2
-5.200000000000000e+1,4.456000000000000e+3,2.580474562089474e+1,4.730431479882280e+3,-2.744314798822798e+2
-4.800000000000000e+1,4.896000000000000e+3,8.014333137725893e+0,4.612785317808806e+3,2.832146821911938e+2
-4.400000000000000e+1,4.943000000000000e+3,5.012601918666760e+3,4.459538635967167e+3,4.834613640328326e+2
-4.000000000000000e+1,4.599000000000000e+3,,4.265717280573154e+3,3.332827194268457e+2
-3.600000000000000e+1,4.088000000000000e+3,,4.027917825442806e+3,6.008217455719386e+1
-3.200000000000000e+1,4.041000000000000e+3,,3.745227277652150e+3,2.957727223478505e+2
-2.800000000000000e+1,3.066000000000000e+3,,3.420107938879864e+3,-3.541079388798635e+2
-2.400000000000000e+1,2.971000000000000e+3,,3.059093528583196e+3,-8.809352858319653e+1
-2.000000000000000e+1,3.248000000000000e+3,,2.673132040445916e+3,5.748679595540843e+2
-1.600000000000000e+1,2.105000000000000e+3,,2.277431881635477e+3,-1.724318816354771e+2
-1.200000000000000e+1,1.878000000000000e+3,,1.890724128178774e+3,-1.272412817877375e+1
-8.000000000000000e+0,6.830000000000000e+2,,1.533940493183210e+3,-8.509404931832101e+2
-4.000000000000000e+0,6.890000000000000e+2,,1.228410294998100e+3,-5.394102949980998e+2
0.0000000000000000,0.0000000000000000,,9.937798895087635e+2,-9.937798895087635e+2
4.000000000000000e+0,1.685000000000000e+3,,8.459317460938165e+2,8.390682539061835e+2
8.000000000000000e+0,2.080000000000000e+3,,7.952079883276355e+2,1.284792011672364e+3
1.200000000000000e+1,1.143000000000000e+3,,8.452141854457150e+2,2.977858145542850e+2
1.600000000000000e+1,8.950000000000000e+2,,9.923955721848906e+2,-9.739557218489062e+1
2.000000000000000e+1,1.553000000000000e+3,,1.226454881295680e+3,3.265451187043204e+2
2.400000000000000e+1,6.230000000000000e+2,,1.531543571586574e+3,-9.085435715865742e+2
2.800000000000000e+1,1.501000000000000e+3,,1.888035040420038e+3,-3.870350404200376e+2
3.200000000000000e+1,1.747000000000000e+3,,2.274604450393451e+3,-5.276044503934509e+2
3.600000000000000e+1,3.272000000000000e+3,,2.670310349989330e+3,6.016896500106705e+2
4.000000000000000e+1,3.806000000000000e+3,,3.056400527426211e+3,7.495994725737891e+2
4.400000000000000e+1,4.008000000000000e+3,,3.417637984211432e+3,5.903620157885680e+2
4.800000000000000e+1,3.642000000000000e+3,,3.743042983666866e+3,-1.010429836668654e+2
5.200000000000000e+1,3.794000000000000e+3,,4.026050873717904e+3,-2.320508737179039e+2
5.600000000000000e+1,3.882000000000000e+3,,4.264172326197200e+3,-3.821723261972002e+2
6.000000000000000e+1,4.078000000000000e+3,,4.458299164678258e+3,-3.802991646782584e+2
6.400000000000000e+1,3.892000000000000e+3,,4.611820279492140e+3,-7.198202794921399e+2
6.800000000000000e+1,4.665000000000000e+3,,4.729701693290658e+3,-6.470169329065811e+1
7.200000000000000e+1,4.350000000000000e+3,,4.817651817396345e+3,-4.676518173963450e+2
