VAR1,VAR2,VAR3,VAR4,Vogit,Predicted,Residuals,Gaussian,Predicted 2,Residuals 2,lorentian,Predicted 1,Residuals 1
6.000000000000000e-1,9.946100000000000e-1,8.480000000000000e-3,9.942500000000000e-1,-4.538953341405584e-2,9.944704926421429e-1,1.395073578570605e-4,-4.537906873402718e-2,9.944682774611691e-1,1.417225388308241e-4,-6.795084156185889e-2,9.942467020772075e-1,3.632979227924382e-4
5.000000000000000e-1,9.948600000000000e-1,5.240000000000000e-3,9.874700000000000e-1,3.447805831218854e-1,9.876349940696176e-1,7.225005930382333e-3,3.446975547189519e-1,9.876339864669438e-1,7.226013533056075e-3,5.724682096547323e-1,9.874630839471982e-1,7.396916052801794e-3
4.000000000000000e-1,9.742300000000000e-1,8.090000000000000e-3,9.799400000000000e-1,2.474587930401118e-9,9.798116475139683e-1,-5.581647513968280e-3,6.318889094033728e-2,9.798109263332397e-1,-5.580926333239700e-3,6.259020243810390e-2,9.799347914362010e-1,-5.704791436200951e-3
3.000000000000000e-1,9.681900000000000e-1,7.280000000000000e-3,9.723900000000000e-1,6.316363869063485e-2,9.721256861476958e-1,-3.935686147695794e-3,1.007964338078210e+0,9.721245488687277e-1,-3.934548868727683e-3,1.030366389168260e+0,9.723871908560394e-1,-4.197190856039423e-3
2.000000000000000e-1,9.715200000000000e-1,6.590000000000000e-3,9.661200000000000e-1,1.007976010864346e+0,9.660240636333606e-1,5.495936366639365e-3,,9.660224348317851e-1,5.497565168214869e-3,,9.661172376228640e-1,5.402762377135994e-3
1.000000000000000e-1,9.576200000000000e-1,6.620000000000000e-3,9.627100000000000e-1,,9.628447955379317e-1,-5.224795537931648e-3,,9.628432988250867e-1,-5.223298825086653e-3,,9.627044905861637e-1,-5.084490586163670e-3
0.0000000000000000,9.673900000000000e-1,7.810000000000000e-3,9.632200000000000e-1,,9.633418053838701e-1,4.048194616129930e-3,,9.633413830783621e-1,4.048616921637826e-3,,9.632182306168678e-1,4.171769383132129e-3
-1.000000000000000e-1,9.641000000000000e-1,8.320000000000000e-3,9.674800000000000e-1,,9.673948503054824e-1,-3.294850305482488e-3,,9.673961293849963e-1,-3.296129384996349e-3,,9.674876695304589e-1,-3.387669530458881e-3
-2.000000000000000e-1,9.802300000000000e-1,5.820000000000000e-3,9.742200000000000e-1,,9.740567021582294e-1,6.173297841770675e-3,,9.740595050932624e-1,6.170494906737600e-3,,9.742274194255587e-1,6.002580574441252e-3
-3.000000000000000e-1,9.811300000000000e-1,4.210000000000000e-3,9.818600000000000e-1,,9.819123511454947e-1,-7.823511454948528e-4,,9.819156617312837e-1,-7.856617312836933e-4,,9.818706321977509e-1,-7.406321977510011e-4
-4.000000000000000e-1,9.833500000000000e-1,8.510000000000000e-3,9.892500000000000e-1,,9.895644894940230e-1,-6.214489494023146e-3,,9.895668731961419e-1,-6.216873196141948e-3,,9.892579394057250e-1,-5.907939405724982e-3
-5.000000000000000e-1,1.000000000000000e+0,5.850000000000000e-3,9.958000000000000e-1,,9.960193522143134e-1,3.980647785686520e-3,,9.960195464494326e-1,3.980453550567420e-3,,9.957996613104421e-1,4.200338689557937e-3
-6.000000000000000e-1,9.988100000000000e-1,1.000000000000000e-2,1.001330000000000e+0,,1.000837693371928e+0,-2.027693371927874e-3,,1.000835028950616e+0,-2.025028950615626e-3,,1.001323067785405e+0,-2.513067785404832e-3
